YEAR,WEEK,TOTAL PATIENTS,Label,News Count,Abstract Count,Patent Count,GT Influenza,Label 7,Label 5
2018,12,957380,UP,4,52,30,16,U1,U1
2018,13,874750,DOWN,3,87,36,13,D3,D2
2018,14,937849,UP,1,50,23,11,U3,U2
2018,15,923041,DOWN,4,52,32,11,D1,D1
2018,16,936850,UP,15,69,25,9,U1,U1
2018,17,945759,UP,10,50,36,8,U1,U1
2018,18,913326,DOWN,8,77,32,7,D2,D2
2018,19,905868,DOWN,4,52,31,5,D1,D1
2018,20,903948,DOWN,13,66,39,5,N,N
2018,21,862825,DOWN,11,46,27,5,D2,D2
2018,22,785022,DOWN,10,91,25,4,D3,D2
2018,23,828488,UP,4,47,27,4,U3,U2
2018,24,772937,DOWN,5,57,24,3,D3,D2
2018,25,777692,UP,5,42,37,3,U1,U1
2018,26,798856,UP,10,78,31,3,U2,U1
2018,27,759335,DOWN,12,53,20,3,D2,D2
2018,28,841809,UP,20,49,35,3,U3,U2
2018,29,817849,DOWN,20,46,32,4,D2,D1
2018,30,800573,DOWN,32,43,28,3,D2,D1
2018,31,815725,UP,23,91,27,3,U1,U1
2018,32,796639,DOWN,74,40,31,4,D2,D1
2018,33,811337,UP,75,50,29,4,U1,U1
2018,34,765973,DOWN,50,61,23,5,D3,D2
2018,35,843545,UP,147,78,30,7,U3,U2
2018,36,835370,DOWN,87,56,31,7,D1,D1
2018,37,877135,UP,236,45,30,8,U2,U2
2018,38,852916,DOWN,533,44,32,9,D2,D1
2018,39,850685,DOWN,2433,109,38,9,N,N
2018,40,1252483,UP,2245,47,31,9,U3,U2
2018,41,1252846,UP,2545,58,24,10,N,N
2018,42,1249933,DOWN,2114,54,36,10,N,N
2018,43,1251776,UP,2248,44,34,9,N,N
2018,44,1254812,UP,2040,91,39,9,N,N
2018,45,1246860,DOWN,2156,56,23,9,D1,D1
2018,46,1164292,DOWN,2244,73,21,7,D3,D2
2018,47,1020898,DOWN,2365,49,20,10,D3,D2
2018,48,1292335,UP,2264,114,49,11,U3,U2
2018,49,1230419,DOWN,2006,64,31,11,D2,D2
2018,50,1209022,DOWN,2226,81,25,12,D1,D1
2018,51,1177786,DOWN,2004,66,47,14,D2,D1
2018,52,1047161,DOWN,1918,24,17,14,D3,D2
2019,1,1158023,UP,1825,117,21,16,U3,U2
2019,2,1233836,UP,2316,53,16,17,U3,U2
2019,3,1221478,DOWN,2067,42,25,19,D1,D1
2019,4,1184495,DOWN,2353,46,20,23,D2,D2
2019,5,1219521,UP,2209,84,23,23,U2,U1
2019,6,1331519,UP,2446,43,30,26,U3,U2
2019,7,1288318,DOWN,2506,61,22,27,D2,D2
2019,8,1257106,DOWN,2451,63,32,27,D2,D1
2019,9,1278001,UP,2365,105,37,30,U1,U1
2019,10,1256934,DOWN,2627,48,29,29,D1,D1
2019,11,1285646,UP,2307,82,39,27,U2,U1
2019,12,1257449,DOWN,2533,66,33,20,D2,D1
2019,13,1238213,DOWN,2710,101,30,16,D1,D1
2019,14,1226648,DOWN,2729,58,27,13,D1,D1
2019,15,1226170,DOWN,2410,61,33,10,N,N
2019,16,1174114,DOWN,2175,39,36,9,D2,D2
2019,17,1194101,UP,2470,62,31,8,U1,U1
2019,18,1195232,UP,2399,101,27,7,N,N
2019,19,1170273,DOWN,2465,48,16,6,D2,D1
2019,20,1084443,DOWN,2062,57,24,6,D3,D2
2019,21,1121166,UP,2198,61,24,4,U2,U2
2019,22,1050372,DOWN,2072,100,23,5,D3,D2
2019,23,1083994,UP,2330,52,25,4,U2,U2
2019,24,1050239,DOWN,2925,50,29,4,D2,D2
2019,25,1053569,UP,2711,70,21,4,N,N
2019,26,1040288,DOWN,2446,107,23,3,D1,D1
2019,27,978443,DOWN,2358,56,11,3,D3,D2
2019,28,1058265,UP,2390,57,29,3,U3,U2
2019,29,1054954,DOWN,2371,58,18,3,N,N
2019,30,1036508,DOWN,2745,65,19,3,D1,D1
2019,31,1038168,UP,2767,97,38,3,N,N
2019,32,1043747,UP,2494,43,28,4,U1,U1
2019,33,1076513,UP,2526,40,19,4,U2,U2
2019,34,1071703,DOWN,2540,60,19,5,N,N
2019,35,1095230,UP,2651,85,12,5,U2,U1
2019,36,1090741,DOWN,2354,55,11,7,N,N
2019,37,1162580,UP,2431,87,20,8,U3,U2
2019,38,1148137,DOWN,2811,68,21,9,D1,D1
2019,39,1163278,UP,2508,50,34,9,U1,U1
2019,40,1456967,UP,2611,92,25,9,U3,U2
2019,41,1436150,DOWN,2353,47,24,10,D1,D1
2019,42,1429897,DOWN,2417,60,19,10,N,N
2019,43,1473740,UP,2244,41,19,8,U2,U2
2019,44,1435277,DOWN,2160,79,11,10,D2,D1
2019,45,1463253,UP,2202,40,21,11,U1,U1
2019,46,1426760,DOWN,2379,73,25,12,D2,D1
2019,47,1483729,UP,2459,39,25,10,U2,U2
2019,48,1270842,DOWN,2337,99,15,14,D3,D2
2019,49,1474075,UP,2224,68,15,15,U3,U2
2019,50,1458774,DOWN,2278,57,30,24,D1,D1
2019,51,1423829,DOWN,2221,59,29,31,D2,D1
2019,52,1338669,DOWN,1597,37,10,31,D3,D2
2020,1,1423620,UP,1707,91,8,31,U3,U2
2020,2,1490905,UP,2346,53,23,37,U2,U2
2020,3,1488404,DOWN,2356,72,20,44,N,N
2020,4,1494697,UP,3167,52,16,61,N,N
2020,5,1575900,UP,3708,113,17,57,U3,U2
2020,6,1571300,DOWN,3593,65,22,54,N,N
2020,7,1533883,DOWN,3645,59,22,49,D2,D1
2020,8,1420123,DOWN,3772,65,17,66,D3,D2
2020,9,1466192,UP,3899,78,31,70,U2,U2
2020,10,1489410,UP,3082,49,25,100,U1,U1
2020,11,1423503,DOWN,3621,55,25,84,D2,D2
2020,12,1068755,DOWN,4141,50,24,67,D3,D2
2020,13,853431,DOWN,2638,48,30,52,D3,D2
2020,14,750546,DOWN,2381,75,16,40,D3,D2
2020,15,718953,DOWN,3281,52,23,32,D2,D2
2020,16,709645,DOWN,6142,61,20,28,D1,D1
2020,17,750576,UP,6207,68,28,23,U3,U2
2020,18,790715,UP,6334,73,33,21,U3,U2
2020,19,818113,UP,6116,45,26,20,U2,U2
2020,20,846400,UP,6182,51,33,18,U2,U2
2020,21,1090638,UP,5756,48,26,15,U3,U2
2020,22,1085294,DOWN,5768,71,21,8,N,N
2020,23,1137295,UP,5638,42,26,8,U2,U2
2020,24,1176074,UP,5830,49,33,9,U2,U2
2020,25,1247767,UP,5537,50,21,9,U3,U2
2020,26,1288294,UP,5689,65,29,10,U2,U2
2020,27,1289006,UP,5842,105,25,11,N,N
2020,28,1360798,UP,5999,50,24,13,U3,U2
2020,29,1339726,DOWN,5366,72,15,11,D1,D1
2020,30,1356301,UP,6080,63,16,10,U1,U1
2020,31,1349125,DOWN,6267,104,17,9,D1,D1
2020,32,1336052,DOWN,6127,42,26,11,D1,D1
2020,33,1343895,UP,6110,76,25,10,U1,U1
2020,34,1346595,UP,6093,67,23,8,N,N
2020,35,1355839,UP,5975,51,19,10,U1,U1
2020,36,1340149,DOWN,6098,100,14,10,D1,D1
2020,37,1332779,DOWN,5945,48,28,9,D1,D1
2020,38,1365420,UP,6515,75,27,12,U2,U1
2020,39,1404590,UP,5712,45,31,11,U2,U1
2020,40,1524289,UP,6226,86,15,13,U3,U2
2020,41,1602667,UP,6174,61,25,11,U3,U2
2020,42,1569727,DOWN,5922,60,12,10,D2,D1
2020,43,1571417,UP,5909,43,12,12,N,N
2020,44,1560158,DOWN,5766,118,19,7,D1,D1
2020,45,1597645,UP,5422,60,20,9,U2,U1
2020,46,1639379,UP,6043,68,30,12,U2,U1
2020,47,1585429,DOWN,5928,78,19,10,D2,D2
2020,48,1421255,DOWN,5386,55,23,12,D3,D2
2020,49,1534905,UP,5628,95,23,11,U3,U2
2020,50,1549810,UP,5714,42,20,11,U1,U1
2020,51,1493163,DOWN,5775,62,24,9,D2,D2
2020,52,1361197,DOWN,4708,29,14,9,D3,D2
2020,53,1458113,UP,4668,103,15,8,U3,U2
2021,1,1582870,UP,5120,95,20,8,U3,U2
2021,2,1508647,DOWN,5502,60,15,8,D2,D2
2021,3,1515305,UP,5381,66,10,8,N,N
2021,4,1504764,DOWN,5718,98,12,8,D1,D1
2021,5,1487296,DOWN,5784,70,19,7,D1,D1
2021,6,1443873,DOWN,5718,55,13,6,D2,D1
2021,7,1387354,DOWN,5808,68,19,8,D2,D2
2021,8,1550083,UP,6054,129,15,7,U3,U2
2021,9,1543291,DOWN,5566,62,20,7,N,N
2021,10,1559093,UP,5248,79,23,6,U1,U1
2021,11,1551445,DOWN,5544,79,23,6,N,N
2021,12,1599192,UP,5799,50,30,6,U2,U2
2021,13,1602279,UP,5046,82,32,6,N,N
2021,14,1679101,UP,5175,59,27,7,U2,U2
2021,15,1728295,UP,5487,59,30,6,U2,U1
2021,16,1678407,DOWN,5584,62,34,6,D2,D1
2021,17,1698411,UP,5869,94,23,6,U1,U1
2021,18,1648268,DOWN,5882,47,20,6,D2,D1
2021,19,1623366,DOWN,6023,52,28,5,D1,D1
2021,20,1683010,UP,5981,55,23,5,U2,U2
2021,21,1652047,DOWN,6012,74,17,5,D1,D1
2021,22,1609033,DOWN,6258,126,23,4,D2,D1
2021,23,1674977,UP,6213,65,11,4,U2,U2
2021,24,1656791,DOWN,5897,53,22,4,D1,D1
2021,25,1643793,DOWN,5832,55,19,4,D1,D1
2021,26,1656615,UP,5801,112,24,4,U1,U1
2021,27,1683237,UP,6023,73,21,5,U1,U1
2021,28,1750965,UP,5374,56,16,5,U2,U2
2021,29,1787028,UP,6071,43,12,7,U2,U1
2021,30,1842048,UP,6437,88,20,7,U2,U2
2021,31,1839909,DOWN,6122,43,10,8,N,N
2021,32,1858843,UP,3064,54,20,7,U1,U1
2021,33,1852756,DOWN,4409,62,15,8,N,N
2021,34,1865986,UP,6122,57,15,8,U1,U1
2021,35,1814136,DOWN,5992,94,6,9,D2,D1
2021,36,1781535,DOWN,5634,67,16,9,D1,D1
2021,37,1805463,UP,6276,70,14,9,U1,U1
2021,38,1753523,DOWN,6044,53,9,9,D2,D1
2021,39,1624427,DOWN,1984,116,10,9,D3,D2
2021,40,2007349,UP,78,65,11,9,U3,U2
2021,41,1973726,DOWN,104,67,14,9,D1,D1
2021,42,1918176,DOWN,201,51,10,8,D2,D1
2021,43,1934723,UP,746,103,15,9,U1,U1
2021,44,1917361,DOWN,5241,52,16,9,D1,D1
2021,45,1980931,UP,5340,57,17,9,U2,U2
2021,46,1997393,UP,5164,53,10,8,U1,U1
2021,47,1762089,DOWN,5146,56,17,11,D3,D2
2021,48,2056903,UP,5326,112,17,11,U3,U2
2021,49,2025745,DOWN,2629,53,13,13,D1,D1
2021,50,2018736,DOWN,3810,84,23,16,N,N
2021,51,1942424,DOWN,4607,32,16,18,D2,D2
2021,52,2246237,UP,4188,83,13,24,U3,U2
2022,1,2178681,DOWN,4907,63,3,15,D2,D2
2022,2,2025389,DOWN,4999,47,6,12,D3,D2
2022,3,1811003,DOWN,4865,55,4,10,D3,D2
2022,4,1760073,DOWN,4900,50,17,9,D2,D1
2022,5,1654872,DOWN,4873,79,8,9,D3,D2
2022,6,1763832,UP,5136,49,5,10,U3,U2
2022,7,1746795,DOWN,5515,49,8,10,D1,D1
2022,8,1722955,DOWN,5478,52,4,10,D1,D1
2022,9,1813130,UP,5156,96,5,11,U3,U2
2022,10,1815133,UP,5342,35,9,12,N,N
2022,11,1867926,UP,5090,48,7,11,U2,U1
2022,12,1869370,UP,5380,35,4,12,N,N
2022,13,1877580,UP,6057,65,10,13,N,N
2022,14,1912899,UP,5995,38,5,12,U1,U1
2022,15,1923613,UP,5599,30,5,13,U1,U1
2022,16,1927635,UP,5251,32,8,13,N,N
2022,17,1960190,UP,5869,79,3,12,U1,U1
2022,18,1979830,UP,5501,38,2,12,U1,U1
2022,19,1994121,UP,5844,29,4,11,U1,U1
2022,20,2076569,UP,7078,29,7,11,U2,U2
2022,21,1963229,DOWN,6457,27,9,8,D3,D2
2022,22,1959711,DOWN,6490,87,2,8,N,N
2022,23,1972714,UP,6392,39,9,7,U1,U1
2022,24,1940597,DOWN,6122,24,5,6,D1,D1
2022,25,1972297,UP,6366,28,5,5,U1,U1
2022,26,1918113,DOWN,5626,51,12,5,D2,D1
2022,27,1951013,UP,5540,22,5,5,U1,U1
2022,28,1978256,UP,6012,27,6,5,U1,U1
2022,29,1977461,DOWN,5044,30,9,5,N,N
2022,30,1944189,DOWN,2681,79,6,5,D1,D1
2022,31,1938338,DOWN,55,29,6,5,N,N
2022,32,1887562,DOWN,134,37,5,5,D2,D1
2022,33,1949894,UP,248,23,4,6,U2,U2
2022,34,1975601,UP,1731,29,7,6,U1,U1
2022,35,1978914,UP,3926,71,3,7,N,N
2022,36,1966513,DOWN,5867,32,3,8,D1,D1
2022,37,2017799,UP,5835,36,3,8,U2,U1
2022,38,2033022,UP,5989,34,2,9,U1,U1
2022,39,2015431,DOWN,6318,71,4,9,D1,D1
2022,40,2209814,UP,3532,20,2,10,U3,U2
2022,41,2223106,UP,5914,45,3,11,U1,U1
2022,42,2279700,UP,5581,22,7,14,U2,U1
2022,43,2462467,UP,5523,36,5,19,U3,U2
2022,44,2510305,UP,6270,62,0,21,U1,U1
2022,45,2468962,DOWN,6440,48,3,27,D1,D1
2022,46,2396019,DOWN,5956,33,3,33,D2,D1
2022,47,2237505,DOWN,5845,41,3,40,D3,D2
2022,48,2564503,UP,1279,92,8,45,U3,U2
2022,49,2448985,DOWN,2576,33,2,45,D2,D2
2022,50,2347026,DOWN,5962,56,4,37,D2,D2
2022,51,2116491,DOWN,5571,43,5,28,D3,D2
2022,52,2058533,DOWN,4998,58,4,17,D2,D1
2023,1,2257219,UP,5481,65,2,12,U3,U2
2023,2,2214718,DOWN,5588,44,3,12,D1,D1
2023,3,2134322,DOWN,6030,42,5,9,D2,D2
2023,4,2179097,UP,5406,49,1,9,U2,U1
2023,5,2208786,UP,6326,61,3,9,U1,U1
2023,6,2301891,UP,4799,44,2,9,U2,U2
2023,7,2262519,DOWN,5655,55,1,8,D1,D1
2023,8,2212367,DOWN,5677,43,5,9,D2,D1
2023,9,2278801,UP,5676,56,3,8,U2,U2
2023,10,2274369,DOWN,5261,45,7,8,N,N
2023,11,2228243,DOWN,5313,41,4,8,D2,D1
2023,12,2295244,UP,5917,42,5,7,U2,U2
2023,13,2270922,DOWN,5707,74,7,7,D1,D1
2023,14,2191695,DOWN,5177,51,3,8,D2,D2
2023,15,2254413,UP,5790,45,7,8,U2,U1
2023,16,2277306,UP,5758,44,7,8,U1,U1
2023,17,2270577,DOWN,5825,52,3,7,N,N
2023,18,2259439,DOWN,3741,53,2,7,N,N
2023,19,2295923,UP,5893,51,3,6,U1,U1
2023,20,2201602,DOWN,5574,50,1,6,D2,D2
2023,21,2169098,DOWN,963,30,4,5,D1,D1
2023,22,2145684,DOWN,491,63,1,5,D1,D1
2023,23,2182091,UP,4935,29,6,5,U1,U1
2023,24,2151633,DOWN,5262,47,6,5,D1,D1
2023,25,2139112,DOWN,5398,45,3,5,D1,D1
2023,26,2151758,UP,5449,49,5,4,U1,U1
2023,27,2064286,DOWN,4332,51,3,4,D2,D2
2023,28,2155400,UP,5761,44,4,4,U2,U2
2023,29,2163359,UP,5805,36,0,4,N,N
2023,30,2146245,DOWN,5779,45,1,4,D1,D1
2023,31,2132922,DOWN,2564,58,2,4,D1,D1
2023,32,2156467,UP,5550,29,3,5,U1,U1
2023,33,2186399,UP,5487,32,2,5,U1,U1
2023,34,2243946,UP,5138,33,3,6,U2,U1
2023,35,2245988,UP,2563,49,2,7,N,N
2023,36,2209523,DOWN,5836,42,1,8,D1,D1
2023,37,2274050,UP,5924,43,1,9,U2,U1
2023,38,2261308,DOWN,2737,38,1,9,D1,D1
