,Weekly_Date_Custom,count
0,2018-03-20,57
1,2018-03-27,42
2,2018-04-03,7
3,2018-04-10,50
4,2018-04-17,368
5,2018-04-24,771
6,2018-05-01,481
7,2018-05-08,289
8,2018-05-15,562
9,2018-05-22,1001
10,2018-05-29,840
11,2018-06-05,344
12,2018-06-12,930
13,2018-06-19,591
14,2018-06-26,1134
15,2018-07-03,1144
16,2018-07-10,1181
17,2018-07-17,2046
18,2018-07-24,2480
19,2018-07-31,1670
20,2018-08-07,3646
21,2018-08-14,5359
22,2018-08-21,2750
23,2018-08-28,5298
24,2018-09-04,5947
25,2018-09-11,11684
26,2018-09-18,11409
27,2018-09-25,28297
28,2018-10-02,25876
29,2018-10-09,28235
30,2018-10-16,21500
31,2018-10-23,23163
32,2018-10-30,21052
33,2018-11-06,25730
34,2018-11-13,28195
35,2018-11-20,33112
36,2018-11-27,25638
37,2018-12-04,25127
38,2018-12-11,30607
39,2018-12-18,34726
40,2018-12-25,19040
41,2019-01-01,22158
42,2019-01-08,25485
43,2019-01-15,24056
44,2019-01-22,28395
45,2019-01-29,24401
46,2019-02-05,24387
47,2019-02-12,29342
48,2019-02-19,28085
49,2019-02-26,26294
50,2019-03-05,26653
51,2019-03-12,26176
52,2019-03-19,33248
53,2019-03-26,32273
54,2019-04-02,27976
55,2019-04-09,32014
56,2019-04-16,25461
57,2019-04-23,26229
58,2019-04-30,23430
59,2019-05-07,26475
60,2019-05-14,22824
61,2019-05-21,20868
62,2019-05-28,22917
63,2019-06-04,26379
64,2019-06-11,29371
65,2019-06-18,30288
66,2019-06-25,27987
67,2019-07-02,27485
68,2019-07-09,27264
69,2019-07-16,25795
70,2019-07-23,28797
71,2019-07-30,30697
72,2019-08-06,28327
73,2019-08-13,26224
74,2019-08-20,25922
75,2019-08-27,24893
76,2019-09-03,22212
77,2019-09-10,27093
78,2019-09-17,26587
79,2019-09-24,29250
80,2019-10-01,31547
81,2019-10-08,26426
82,2019-10-15,25982
83,2019-10-22,24935
84,2019-10-29,26475
85,2019-11-05,23584
86,2019-11-12,24416
87,2019-11-19,28682
88,2019-11-26,22267
89,2019-12-03,22813
90,2019-12-10,28328
91,2019-12-17,29475
92,2019-12-24,18866
93,2019-12-31,17145
94,2020-01-07,20135
95,2020-01-14,21579
96,2020-01-21,19826
97,2020-01-28,28273
98,2020-02-04,27028
99,2020-02-11,24813
100,2020-02-18,26296
101,2020-02-25,24330
102,2020-03-03,17266
103,2020-03-10,22592
104,2020-03-17,20270
105,2020-03-24,14284
106,2020-03-31,13982
107,2020-04-07,19282
108,2020-04-14,26392
109,2020-04-21,28396
110,2020-04-28,34277
111,2020-05-05,29223
112,2020-05-12,30931
113,2020-05-19,26632
114,2020-05-26,29472
115,2020-06-02,32190
116,2020-06-09,31476
117,2020-06-16,29644
118,2020-06-23,28408
119,2020-06-30,27850
120,2020-07-07,31579
121,2020-07-14,29475
122,2020-07-21,37019
123,2020-07-28,32548
124,2020-08-04,30536
125,2020-08-11,35982
126,2020-08-18,31836
127,2020-08-25,31886
128,2020-09-01,29994
129,2020-09-08,29671
130,2020-09-15,33249
131,2020-09-22,31095
132,2020-09-29,34009
133,2020-10-06,30299
134,2020-10-13,27377
135,2020-10-20,31106
136,2020-10-27,28227
137,2020-11-03,32199
138,2020-11-10,32098
139,2020-11-17,30433
140,2020-11-24,26001
141,2020-12-01,31752
142,2020-12-08,32143
143,2020-12-15,34085
144,2020-12-22,26367
145,2020-12-29,24348
146,2021-01-05,28294
147,2021-01-12,27312
148,2021-01-19,27390
149,2021-01-26,35341
150,2021-02-02,30389
151,2021-02-09,29374
152,2021-02-16,31014
153,2021-02-23,33743
154,2021-03-02,29232
155,2021-03-09,29760
156,2021-03-16,28987
157,2021-03-23,29424
158,2021-03-30,29215
159,2021-04-06,25645
160,2021-04-13,31197
161,2021-04-20,28997
162,2021-04-27,33407
163,2021-05-04,30805
164,2021-05-11,32977
165,2021-05-18,30265
166,2021-05-25,29068
167,2021-06-01,28903
168,2021-06-08,31169
169,2021-06-15,26824
170,2021-06-22,27039
171,2021-06-29,28788
172,2021-07-06,26880
173,2021-07-13,27684
174,2021-07-20,27647
175,2021-07-27,29293
176,2021-08-03,25024
177,2021-08-10,17188
178,2021-08-17,18493
179,2021-08-24,25651
180,2021-08-31,24421
181,2021-09-07,24122
182,2021-09-14,25493
183,2021-09-21,21193
184,2021-09-28,4018
185,2021-10-05,584
186,2021-10-12,1916
187,2021-10-19,2824
188,2021-10-26,8419
189,2021-11-02,22909
190,2021-11-09,25371
191,2021-11-16,23309
192,2021-11-23,20972
193,2021-11-30,22844
194,2021-12-07,13687
195,2021-12-14,22366
196,2021-12-21,22721
197,2021-12-28,19703
198,2022-01-04,21065
199,2022-01-11,22538
200,2022-01-18,21443
201,2022-01-25,24661
202,2022-02-01,25800
203,2022-02-08,24324
204,2022-02-15,27434
205,2022-02-22,26414
206,2022-03-01,25540
207,2022-03-08,25693
208,2022-03-15,24925
209,2022-03-22,25361
210,2022-03-29,28492
211,2022-04-05,27929
212,2022-04-12,23342
213,2022-04-19,21843
214,2022-04-26,25939
215,2022-05-03,23024
216,2022-05-10,25882
217,2022-05-17,30298
218,2022-05-24,31623
219,2022-05-31,28911
220,2022-06-07,31951
221,2022-06-14,29038
222,2022-06-21,31461
223,2022-06-28,25583
224,2022-07-05,24693
225,2022-07-12,23743
226,2022-07-19,23345
227,2022-07-26,6470
228,2022-08-02,295
229,2022-08-09,1349
230,2022-08-16,2949
231,2022-08-23,10711
232,2022-08-30,19525
233,2022-09-06,27739
234,2022-09-13,26564
235,2022-09-20,27460
236,2022-09-27,28158
237,2022-10-04,14559
238,2022-10-11,27186
239,2022-10-18,24522
240,2022-10-25,27618
241,2022-11-01,26955
242,2022-11-08,29723
243,2022-11-15,24881
244,2022-11-22,21984
245,2022-11-29,6379
246,2022-12-06,14434
247,2022-12-13,28101
248,2022-12-20,27960
249,2022-12-27,22473
250,2023-01-03,26541
251,2023-01-10,26735
252,2023-01-17,25537
253,2023-01-24,25499
254,2023-01-31,31493
255,2023-02-07,20586
256,2023-02-14,26756
257,2023-02-21,26619
258,2023-02-28,26974
259,2023-03-07,24736
260,2023-03-14,25247
261,2023-03-21,27215
262,2023-03-28,29460
263,2023-04-04,24009
264,2023-04-11,28360
265,2023-04-18,25368
266,2023-04-25,24862
267,2023-05-02,16430
268,2023-05-09,24724
269,2023-05-16,20251
270,2023-05-23,4708
271,2023-05-30,7017
272,2023-06-06,24336
273,2023-06-13,24016
274,2023-06-20,23894
275,2023-06-27,24394
276,2023-07-04,20900
277,2023-07-11,26894
278,2023-07-18,25522
279,2023-07-25,25435
280,2023-08-01,14574
281,2023-08-08,26582
282,2023-08-15,25523
283,2023-08-22,19895
284,2023-08-29,15490
285,2023-09-05,26001
286,2023-09-12,21843
287,2023-09-19,6703
